x,y,headinng,sonar_ang,read,expected
73.0,99.5,-90.0,90.0,31.0,34.47909927368164
73.0,99.5,-90.0,89.0,42.0,34.47909927368164
73.0,99.5,-90.0,88.0,36.0,34.47909927368164
73.0,99.5,-90.0,87.0,38.0,34.47909927368164
73.0,99.5,-90.0,86.0,27.0,34.47909927368164
73.0,99.5,-90.0,85.0,40.0,34.47909927368164
73.0,99.5,-90.0,84.0,40.0,34.47909927368164
73.0,99.5,-90.0,83.0,33.0,34.47909927368164
73.0,99.5,-90.0,82.0,37.0,34.47909927368164
73.0,99.5,-90.0,81.0,27.0,34.47909927368164
73.0,99.5,-90.0,80.0,31.0,34.47909927368164
73.0,99.5,-90.0,79.0,38.0,34.47909927368164
73.0,99.5,-90.0,78.0,34.0,34.47909927368164
73.0,99.5,-90.0,77.0,30.0,34.47909927368164
73.0,99.5,-90.0,76.0,33.0,34.47909927368164
73.0,99.5,-90.0,75.0,34.0,34.47909927368164
73.0,99.5,-90.0,74.0,32.0,34.47909927368164
73.0,99.5,-90.0,73.0,34.0,34.47909927368164
73.0,99.5,-90.0,72.0,28.0,34.488929748535156
73.0,99.5,-90.0,71.0,29.0,34.509307861328125
73.0,99.5,-90.0,70.0,37.0,34.54026794433594
73.0,99.5,-90.0,69.0,41.0,34.581722259521484
73.0,99.5,-90.0,68.0,28.0,34.63393783569336
73.0,99.5,-90.0,67.0,39.0,34.69690704345703
73.0,99.5,-90.0,66.0,34.0,34.77066421508789
73.0,99.5,-90.0,65.0,37.0,34.85539627075195
73.0,99.5,-90.0,64.0,37.0,34.9511604309082
73.0,99.5,-90.0,63.0,35.0,35.058231353759766
73.0,99.5,-90.0,62.0,36.0,35.17678451538086
73.0,99.5,-90.0,61.0,37.0,35.30672073364258
73.0,99.5,-90.0,60.0,33.0,35.448455810546875
73.0,99.5,-90.0,59.0,33.0,35.602474212646484
73.0,99.5,-90.0,58.0,38.0,35.768558502197266
73.0,99.5,-90.0,57.0,42.0,35.947349548339844
73.0,99.5,-90.0,56.0,33.0,36.13890838623047
73.0,99.5,-90.0,55.0,44.0,36.34381103515625
73.0,99.5,-90.0,54.0,40.0,36.56211471557617
73.0,99.5,-90.0,53.0,37.0,36.79433059692383
73.0,99.5,-90.0,52.0,39.0,37.040802001953125
73.0,99.5,-90.0,51.0,42.0,37.30215072631836
73.0,99.5,-90.0,50.0,34.0,37.578773498535156
73.0,99.5,-90.0,49.0,42.0,37.870914459228516
73.0,99.5,-90.0,48.0,32.0,38.17945098876953
73.0,99.5,-90.0,47.0,37.0,38.504852294921875
73.0,99.5,-90.0,46.0,40.0,38.84806823730469
73.0,99.5,-90.0,45.0,44.0,39.209442138671875
73.0,99.5,-90.0,44.0,35.0,39.58951187133789
73.0,99.5,-90.0,43.0,36.0,39.98980712890625
73.0,99.5,-90.0,42.0,46.0,40.40995407104492
73.0,99.5,-90.0,41.0,42.0,40.85181427001953
73.0,99.5,-90.0,40.0,34.0,41.316349029541016
73.0,99.5,-90.0,39.0,41.0,41.80478286743164
73.0,99.5,-90.0,38.0,37.0,42.317832946777344
73.0,99.5,-90.0,37.0,40.0,42.85624313354492
73.0,99.5,-90.0,36.0,46.0,43.422508239746094
73.0,99.5,-90.0,35.0,45.0,44.0174446105957
73.0,99.5,-90.0,34.0,50.0,44.642494201660156
73.0,99.5,-90.0,33.0,50.0,45.299766540527344
73.0,99.5,-90.0,32.0,46.0,45.99047088623047
73.0,99.5,-90.0,31.0,39.0,46.717838287353516
73.0,99.5,-90.0,30.0,39.0,47.482852935791016
73.0,99.5,-90.0,29.0,51.0,48.28784942626953
73.0,99.5,-90.0,28.0,46.0,49.13628387451172
73.0,99.5,-90.0,27.0,53.0,50.03031921386719
73.0,99.5,-90.0,26.0,51.0,50.97321701049805
73.0,99.5,-90.0,25.0,50.0,51.96907424926758
73.0,99.5,-90.0,24.0,54.0,53.020973205566406
73.0,99.5,-90.0,23.0,62.0,54.13320541381836
73.0,99.5,-90.0,22.0,56.0,55.309757232666016
73.0,99.5,-90.0,21.0,60.0,56.55624771118164
73.0,99.5,-90.0,20.0,57.0,57.87883758544922
73.0,99.5,-90.0,19.0,62.0,59.282623291015625
73.0,99.5,-90.0,18.0,64.0,60.77561950683594
73.0,99.5,-90.0,17.0,60.0,62.365169525146484
73.0,99.5,-90.0,16.0,52.0,64.06044006347656
73.0,99.5,-90.0,15.0,66.0,65.87033081054688
73.0,99.5,-90.0,14.0,74.0,67.8068618774414
73.0,99.5,-90.0,13.0,76.0,69.88309478759766
73.0,99.5,-90.0,12.0,75.0,72.11320495605469
73.0,99.5,-90.0,11.0,80.0,73.0
73.0,99.5,-90.0,10.0,73.0,73.0
73.0,99.5,-90.0,9.0,77.0,73.0
73.0,99.5,-90.0,8.0,73.0,73.0
73.0,99.5,-90.0,7.0,68.0,73.0
73.0,99.5,-90.0,6.0,77.0,73.0
73.0,99.5,-90.0,5.0,71.0,73.0
73.0,99.5,-90.0,4.0,73.0,73.0
73.0,99.5,-90.0,3.0,74.0,73.0
73.0,99.5,-90.0,2.0,69.0,73.0
