x,y,headinng,sonar_ang,read,expected
57.5,62.0,0.0,90.0,57.0,57.5
57.5,62.0,0.0,89.0,57.0,57.5
57.5,62.0,0.0,88.0,57.0,57.5
57.5,62.0,0.0,87.0,57.0,57.5
57.5,62.0,0.0,86.0,57.0,57.5
57.5,62.0,0.0,85.0,57.0,57.5
57.5,62.0,0.0,84.0,57.0,57.5
57.5,62.0,0.0,83.0,57.0,57.5
57.5,62.0,0.0,82.0,57.0,57.5
57.5,62.0,0.0,81.0,57.0,57.5
57.5,62.0,0.0,80.0,57.0,57.5
57.5,62.0,0.0,79.0,57.0,57.5
57.5,62.0,0.0,78.0,57.0,57.5
57.5,62.0,0.0,77.0,57.0,57.5
57.5,62.0,0.0,76.0,58.0,57.5
57.5,62.0,0.0,75.0,58.0,57.5
57.5,62.0,0.0,74.0,58.0,57.5
57.5,62.0,0.0,73.0,58.0,57.5
57.5,62.0,0.0,72.0,58.0,57.5
57.5,62.0,0.0,71.0,58.0,57.5
57.5,62.0,0.0,70.0,58.0,57.5
57.5,62.0,0.0,69.0,58.0,57.508758544921875
57.5,62.0,0.0,68.0,59.0,57.53504943847656
57.5,62.0,0.0,67.0,59.0,57.57891082763672
57.5,62.0,0.0,66.0,59.0,57.64040756225586
57.5,62.0,0.0,65.0,59.0,57.71963882446289
57.5,62.0,0.0,64.0,59.0,57.81672668457031
57.5,62.0,0.0,63.0,59.0,57.93181610107422
57.5,62.0,0.0,62.0,60.0,58.065086364746094
57.5,62.0,0.0,61.0,60.0,58.21674728393555
57.5,62.0,0.0,60.0,60.0,58.38703155517578
57.5,62.0,0.0,59.0,60.0,58.576210021972656
57.5,62.0,0.0,58.0,61.0,58.784584045410156
57.5,62.0,0.0,57.0,61.0,59.01248550415039
57.5,62.0,0.0,56.0,62.0,59.260284423828125
57.5,62.0,0.0,55.0,62.0,59.528377532958984
57.5,62.0,0.0,54.0,87.0,59.81721496582031
57.5,62.0,0.0,53.0,86.0,60.12727737426758
57.5,62.0,0.0,52.0,86.0,60.45907974243164
57.5,62.0,0.0,51.0,86.0,60.81319046020508
57.5,62.0,0.0,50.0,86.0,61.19021987915039
57.5,62.0,0.0,49.0,86.0,61.59083557128906
57.5,62.0,0.0,48.0,86.0,62.015750885009766
57.5,62.0,0.0,47.0,87.0,62.465721130371094
57.5,62.0,0.0,46.0,86.0,62.941585540771484
57.5,62.0,0.0,45.0,86.0,63.44422912597656
57.5,62.0,0.0,44.0,86.0,63.974613189697266
57.5,62.0,0.0,43.0,86.0,64.53376007080078
57.5,62.0,0.0,42.0,86.0,65.1227798461914
57.5,62.0,0.0,41.0,86.0,65.74285888671875
57.5,62.0,0.0,40.0,86.0,65.97901916503906
57.5,62.0,0.0,39.0,86.0,65.57247924804688
57.5,62.0,0.0,38.0,86.0,65.19065856933594
57.5,62.0,0.0,37.0,86.0,64.83289337158203
57.5,62.0,0.0,36.0,86.0,64.49856567382812
57.5,62.0,0.0,35.0,86.0,64.18712615966797
57.5,62.0,0.0,34.0,87.0,63.89804458618164
57.5,62.0,0.0,33.0,87.0,63.630855560302734
57.5,62.0,0.0,32.0,86.0,63.38511657714844
57.5,62.0,0.0,31.0,86.0,63.16043472290039
