x,y,headinng,sonar_ang,read,expected
57.5,62.0,0.0,-33.0,61.0,62.609310150146484
57.5,62.0,0.0,-34.0,62.0,62.7728385925293
57.5,62.0,0.0,-35.0,70.0,62.956451416015625
57.5,62.0,0.0,-36.0,71.0,63.16043472290039
57.5,62.0,0.0,-37.0,65.0,63.38511657714844
57.5,62.0,0.0,-38.0,62.0,63.630855560302734
57.5,62.0,0.0,-39.0,75.0,63.89804458618164
57.5,62.0,0.0,-40.0,61.0,64.18712615966797
57.5,62.0,0.0,-41.0,75.0,64.49856567382812
57.5,62.0,0.0,-42.0,76.0,64.83289337158203
57.5,62.0,0.0,-43.0,67.0,65.19065856933594
57.5,62.0,0.0,-44.0,70.0,65.57247924804688
57.5,62.0,0.0,-45.0,79.0,65.97901916503906
57.5,62.0,0.0,-46.0,70.0,66.4109878540039
57.5,62.0,0.0,-47.0,74.0,66.86915588378906
57.5,62.0,0.0,-48.0,69.0,67.35433959960938
57.5,62.0,0.0,-49.0,73.0,67.86744689941406
57.5,62.0,0.0,-50.0,75.0,68.40943145751953
57.5,62.0,0.0,-51.0,78.0,68.98131561279297
57.5,62.0,0.0,-52.0,82.0,69.584228515625
57.5,62.0,0.0,-53.0,76.0,70.21934509277344
57.5,62.0,0.0,-54.0,82.0,70.88794708251953
57.5,62.0,0.0,-55.0,87.0,71.59143829345703
57.5,62.0,0.0,-56.0,85.0,72.3312759399414
57.5,62.0,0.0,-57.0,85.0,73.10906219482422
57.5,62.0,0.0,-58.0,80.0,73.92652893066406
57.5,62.0,0.0,-59.0,80.0,74.78551483154297
57.5,62.0,0.0,-60.0,84.0,75.68802642822266
57.5,62.0,0.0,-61.0,91.0,76.63621520996094
57.5,62.0,0.0,-62.0,77.0,77.63240814208984
57.5,62.0,0.0,-63.0,90.0,77.78560638427734
57.5,62.0,0.0,-64.0,89.0,77.29476165771484
57.5,62.0,0.0,-65.0,89.0,76.83332824707031
57.5,62.0,0.0,-66.0,75.0,76.40050506591797
57.5,62.0,0.0,-67.0,81.0,75.99555969238281
57.5,62.0,0.0,-68.0,84.0,75.61779022216797
57.5,62.0,0.0,-69.0,81.0,75.26657104492188
57.5,62.0,0.0,-70.0,71.0,74.94131469726562
57.5,62.0,0.0,-71.0,81.0,74.64149475097656
57.5,62.0,0.0,-72.0,75.0,74.36664581298828
57.5,62.0,0.0,-73.0,76.0,74.11629486083984
57.5,62.0,0.0,-74.0,78.0,73.89005279541016
57.5,62.0,0.0,-75.0,76.0,73.68757629394531
57.5,62.0,0.0,-76.0,86.0,73.50852966308594
57.5,62.0,0.0,-77.0,75.0,73.3526382446289
57.5,62.0,0.0,-78.0,85.0,73.21966552734375
57.5,62.0,0.0,-79.0,79.0,73.10940551757812
57.5,62.0,0.0,-80.0,73.0,73.02169036865234
57.5,62.0,0.0,-81.0,81.0,72.95637512207031
57.5,62.0,0.0,-82.0,75.0,72.91336822509766
57.5,62.0,0.0,-83.0,86.0,72.8926010131836
57.5,62.0,0.0,-84.0,78.0,72.8926010131836
57.5,62.0,0.0,-85.0,76.0,72.8926010131836
57.5,62.0,0.0,-86.0,70.0,72.8926010131836
57.5,62.0,0.0,-87.0,79.0,72.8926010131836
57.5,62.0,0.0,-88.0,79.0,72.8926010131836
57.5,62.0,0.0,-89.0,74.0,72.8926010131836
57.5,62.0,0.0,-90.0,75.0,72.8926010131836
