x,y,headinng,sonar_ang,read,expected
26.0,37.5,0.0,-17.0,27.0,37.5
26.0,37.5,0.0,-18.0,27.0,37.5
26.0,37.5,0.0,-19.0,27.0,37.5
26.0,37.5,0.0,-20.0,27.0,37.5
26.0,37.5,0.0,-21.0,27.0,37.5
26.0,37.5,0.0,-22.0,27.0,37.5
26.0,37.5,0.0,-23.0,28.0,37.5
26.0,37.5,0.0,-24.0,28.0,37.5
26.0,37.5,0.0,-25.0,28.0,37.5
26.0,37.5,0.0,-26.0,28.0,37.50571060180664
26.0,37.5,0.0,-27.0,28.0,37.522857666015625
26.0,37.5,0.0,-28.0,28.0,37.55146408081055
26.0,37.5,0.0,-29.0,28.0,37.59157180786133
26.0,37.5,0.0,-30.0,28.0,37.64324188232422
26.0,37.5,0.0,-31.0,28.0,37.70655822753906
26.0,37.5,0.0,-32.0,28.0,37.781620025634766
26.0,37.5,0.0,-33.0,28.0,37.868534088134766
26.0,37.5,0.0,-34.0,29.0,37.96744155883789
26.0,37.5,0.0,-35.0,29.0,38.07849884033203
26.0,37.5,0.0,-36.0,29.0,38.201873779296875
26.0,37.5,0.0,-37.0,29.0,38.337772369384766
26.0,37.5,0.0,-38.0,29.0,38.48640441894531
26.0,37.5,0.0,-39.0,29.0,38.64801025390625
26.0,37.5,0.0,-40.0,29.0,38.82285690307617
26.0,37.5,0.0,-41.0,29.0,39.01123046875
26.0,37.5,0.0,-42.0,30.0,39.21343994140625
26.0,37.5,0.0,-43.0,30.0,39.429832458496094
26.0,37.5,0.0,-44.0,30.0,39.66077423095703
26.0,37.5,0.0,-45.0,30.0,39.90666580200195
26.0,37.5,0.0,-46.0,30.0,40.167938232421875
26.0,37.5,0.0,-47.0,31.0,40.44505310058594
26.0,37.5,0.0,-48.0,31.0,40.7385139465332
26.0,37.5,0.0,-49.0,32.0,41.048858642578125
26.0,37.5,0.0,-50.0,32.0,41.376670837402344
26.0,37.5,0.0,-51.0,33.0,41.722572326660156
26.0,37.5,0.0,-52.0,126.0,42.08723449707031
26.0,37.5,0.0,-53.0,126.0,42.471378326416016
26.0,37.5,0.0,-54.0,126.0,42.87577438354492
26.0,37.5,0.0,-55.0,126.0,43.301273345947266
26.0,37.5,0.0,-56.0,126.0,43.74875259399414
26.0,37.5,0.0,-57.0,126.0,44.21919250488281
26.0,37.5,0.0,-58.0,127.0,44.713623046875
26.0,37.5,0.0,-59.0,126.0,45.23316955566406
26.0,37.5,0.0,-60.0,126.0,45.779048919677734
26.0,37.5,0.0,-61.0,127.0,46.3525505065918
26.0,37.5,0.0,-62.0,126.0,46.95508575439453
26.0,37.5,0.0,-63.0,126.0,47.58818435668945
26.0,37.5,0.0,-64.0,125.0,48.25348663330078
26.0,37.5,0.0,-65.0,126.0,48.95277786254883
26.0,37.5,0.0,-66.0,125.0,49.687984466552734
26.0,37.5,0.0,-67.0,126.0,50.46122360229492
26.0,37.5,0.0,-68.0,126.0,51.2747802734375
26.0,37.5,0.0,-69.0,127.0,52.131134033203125
26.0,37.5,0.0,-70.0,134.0,53.03300857543945
