x	y	headinng	sonar_ang	read	Expected 20	Expected 25	Expected 30	Expected 35	Expected 40	Expected 45	Expected 50	Erro 20	Erro 25	Erro 30	Erro 35	Erro 40	Erro 45	Erro 50	Linhas ruins
59	66	0	90	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	88	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	87	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	86	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	85	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	84	57	59	59	59	59	59	59	59	4	0	0	0	0	0	0	0,5714285714
59	66	0	83	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	82	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	81	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	80	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	79	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	78	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	77	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	76	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	75	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	74	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	73	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	72	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	71	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	70	58	59	59	59	59	59	59	59	1	0	0	0	0	0	0	0,1428571429
59	66	0	69	59	59,0089874268	59	59	59	59	59	59	8,07738397270441E-005	8,07738397270441E-005	0	0	0	0	0	2,30782399220126E-005
59	66	0	68	59	59,0359611511	59	59	59	59	59	59	0,0012932044	0,0012932044	0	0	0	0	0	0,000369487
