x,y,headinng,sonar_ang,read,expected
59.0,66.0,0.0,-36.0,74.0,66.01005554199219
59.0,66.0,0.0,-37.0,70.0,66.04022979736328
59.0,66.0,0.0,-38.0,67.0,66.090576171875
59.0,66.0,0.0,-39.0,71.0,66.16116333007812
59.0,66.0,0.0,-40.0,74.0,66.25210571289062
59.0,66.0,0.0,-41.0,74.0,66.3635482788086
59.0,66.0,0.0,-42.0,72.0,66.49565124511719
59.0,66.0,0.0,-43.0,76.0,66.64862060546875
59.0,66.0,0.0,-44.0,81.0,66.82270050048828
59.0,66.0,0.0,-45.0,72.0,67.01815795898438
59.0,66.0,0.0,-46.0,80.0,67.23530578613281
59.0,66.0,0.0,-47.0,80.0,67.47447967529297
59.0,66.0,0.0,-48.0,79.0,67.73606872558594
59.0,66.0,0.0,-49.0,81.0,68.02050018310547
59.0,66.0,0.0,-50.0,88.0,68.3282241821289
59.0,66.0,0.0,-51.0,81.0,68.65975952148438
59.0,66.0,0.0,-52.0,82.0,69.01565551757812
59.0,66.0,0.0,-53.0,87.0,69.3965072631836
59.0,66.0,0.0,-54.0,89.0,69.80296325683594
59.0,66.0,0.0,-55.0,85.0,70.23572540283203
59.0,66.0,0.0,-56.0,79.0,70.69556427001953
59.0,66.0,0.0,-57.0,94.0,71.18329620361328
59.0,66.0,0.0,-58.0,85.0,71.69978332519531
59.0,66.0,0.0,-59.0,90.0,72.2459945678711
59.0,66.0,0.0,-60.0,82.0,72.17774963378906
59.0,66.0,0.0,-61.0,85.0,71.88899230957031
59.0,66.0,0.0,-62.0,83.0,71.624267578125
59.0,66.0,0.0,-63.0,86.0,71.3831558227539
59.0,66.0,0.0,-64.0,88.0,71.16526794433594
59.0,66.0,0.0,-65.0,82.0,70.97024536132812
59.0,66.0,0.0,-66.0,74.0,70.79779052734375
59.0,66.0,0.0,-67.0,73.0,70.64765930175781
59.0,66.0,0.0,-68.0,81.0,70.51959228515625
59.0,66.0,0.0,-69.0,76.0,70.41339874267578
59.0,66.0,0.0,-70.0,80.0,70.32891082763672
59.0,66.0,0.0,-71.0,80.0,70.26600646972656
59.0,66.0,0.0,-72.0,72.0,70.2245864868164
59.0,66.0,0.0,-73.0,85.0,70.20458221435547
59.0,66.0,0.0,-74.0,79.0,70.20458221435547
59.0,66.0,0.0,-75.0,78.0,70.20458221435547
59.0,66.0,0.0,-76.0,74.0,70.20458221435547
59.0,66.0,0.0,-77.0,75.0,70.20458221435547
59.0,66.0,0.0,-78.0,69.0,70.20458221435547
59.0,66.0,0.0,-79.0,69.0,70.20458221435547
59.0,66.0,0.0,-80.0,76.0,70.20458221435547
59.0,66.0,0.0,-81.0,71.0,70.20458221435547
59.0,66.0,0.0,-82.0,69.0,70.20458221435547
59.0,66.0,0.0,-83.0,74.0,70.20458221435547
59.0,66.0,0.0,-84.0,78.0,70.20458221435547
59.0,66.0,0.0,-85.0,67.0,70.20458221435547
59.0,66.0,0.0,-86.0,69.0,70.20458221435547
59.0,66.0,0.0,-87.0,75.0,70.20458221435547
59.0,66.0,0.0,-88.0,61.0,70.20458221435547
59.0,66.0,0.0,-89.0,66.0,70.20458221435547
59.0,66.0,0.0,-90.0,66.0,70.20458221435547
