x,y,headinng,sonar_ang,read,expected
59.0,66.0,0.0,90.0,64.0,59.0
59.0,66.0,0.0,89.0,65.0,59.0
59.0,66.0,0.0,88.0,63.0,59.0
59.0,66.0,0.0,87.0,61.0,59.0
59.0,66.0,0.0,86.0,55.0,59.0
59.0,66.0,0.0,85.0,60.0,59.0
59.0,66.0,0.0,84.0,64.0,59.0
59.0,66.0,0.0,83.0,54.0,59.0
59.0,66.0,0.0,82.0,52.0,59.0
59.0,66.0,0.0,81.0,52.0,59.0
59.0,66.0,0.0,80.0,62.0,59.0
59.0,66.0,0.0,79.0,69.0,59.0
59.0,66.0,0.0,78.0,61.0,59.0
59.0,66.0,0.0,77.0,58.0,59.0
59.0,66.0,0.0,76.0,65.0,59.0
59.0,66.0,0.0,75.0,56.0,59.0
59.0,66.0,0.0,74.0,57.0,59.0
59.0,66.0,0.0,73.0,51.0,59.0
59.0,66.0,0.0,72.0,60.0,59.0
59.0,66.0,0.0,71.0,59.0,59.0
59.0,66.0,0.0,70.0,60.0,59.0
59.0,66.0,0.0,69.0,60.0,59.0
59.0,66.0,0.0,68.0,61.0,59.0
59.0,66.0,0.0,67.0,61.0,59.0
59.0,66.0,0.0,66.0,53.0,59.0
59.0,66.0,0.0,65.0,65.0,59.0
59.0,66.0,0.0,64.0,55.0,59.0
59.0,66.0,0.0,63.0,57.0,59.0
59.0,66.0,0.0,62.0,65.0,59.0
59.0,66.0,0.0,61.0,60.0,59.0
59.0,66.0,0.0,60.0,58.0,59.0
59.0,66.0,0.0,59.0,60.0,59.0
59.0,66.0,0.0,58.0,69.0,59.0
59.0,66.0,0.0,57.0,56.0,59.0
59.0,66.0,0.0,56.0,61.0,59.0
59.0,66.0,0.0,55.0,62.0,59.0
59.0,66.0,0.0,54.0,67.0,59.0
59.0,66.0,0.0,53.0,65.0,59.0
59.0,66.0,0.0,52.0,67.0,59.0
59.0,66.0,0.0,51.0,68.0,59.0
59.0,66.0,0.0,50.0,63.0,59.0
59.0,66.0,0.0,49.0,68.0,59.0
59.0,66.0,0.0,48.0,60.0,59.0
59.0,66.0,0.0,47.0,60.0,59.0
59.0,66.0,0.0,46.0,63.0,59.0
59.0,66.0,0.0,45.0,73.0,59.0
59.0,66.0,0.0,44.0,72.0,59.0
59.0,66.0,0.0,43.0,73.0,59.0
