x,y,headinng,sonar_ang,read,expected
59.0,66.0,0.0,90.0,59.0,59.0
59.0,66.0,0.0,89.0,55.0,59.0
59.0,66.0,0.0,88.0,58.0,59.0
59.0,66.0,0.0,87.0,59.0,59.0
59.0,66.0,0.0,86.0,66.0,59.0
59.0,66.0,0.0,85.0,55.0,59.0
59.0,66.0,0.0,84.0,61.0,59.0
59.0,66.0,0.0,83.0,61.0,59.0
59.0,66.0,0.0,82.0,66.0,59.0
59.0,66.0,0.0,81.0,55.0,59.0
59.0,66.0,0.0,80.0,61.0,59.0
59.0,66.0,0.0,79.0,64.0,59.0
59.0,66.0,0.0,78.0,56.0,59.0
59.0,66.0,0.0,77.0,59.0,59.0
59.0,66.0,0.0,76.0,63.0,59.0
59.0,66.0,0.0,75.0,57.0,59.0
59.0,66.0,0.0,74.0,49.0,59.0
59.0,66.0,0.0,73.0,63.0,59.0
59.0,66.0,0.0,72.0,59.0,59.0
59.0,66.0,0.0,71.0,56.0,59.0
59.0,66.0,0.0,70.0,56.0,59.0
59.0,66.0,0.0,69.0,61.0,59.0
59.0,66.0,0.0,68.0,61.0,59.0
59.0,66.0,0.0,67.0,57.0,59.0
59.0,66.0,0.0,66.0,60.0,59.0
59.0,66.0,0.0,65.0,55.0,59.0
59.0,66.0,0.0,64.0,58.0,59.0
59.0,66.0,0.0,63.0,58.0,59.0
59.0,66.0,0.0,62.0,55.0,59.0
59.0,66.0,0.0,61.0,59.0,59.0
59.0,66.0,0.0,60.0,59.0,59.0
59.0,66.0,0.0,59.0,68.0,59.0
59.0,66.0,0.0,58.0,60.0,59.0
59.0,66.0,0.0,57.0,66.0,59.0
59.0,66.0,0.0,56.0,68.0,59.0
59.0,66.0,0.0,55.0,61.0,59.0
59.0,66.0,0.0,54.0,60.0,59.0
59.0,66.0,0.0,53.0,67.0,59.0
59.0,66.0,0.0,52.0,58.0,59.0
59.0,66.0,0.0,51.0,65.0,59.0
59.0,66.0,0.0,50.0,63.0,59.0
59.0,66.0,0.0,49.0,62.0,59.0
59.0,66.0,0.0,48.0,60.0,59.0
59.0,66.0,0.0,47.0,71.0,59.0
59.0,66.0,0.0,46.0,69.0,59.0
59.0,66.0,0.0,45.0,68.0,59.0
59.0,66.0,0.0,44.0,60.0,59.00898742675781
59.0,66.0,0.0,43.0,71.0,59.03596115112305
59.0,66.0,0.0,42.0,69.0,59.08096694946289
59.0,66.0,0.0,41.0,67.0,59.144073486328125
59.0,66.0,0.0,40.0,74.0,59.225372314453125
59.0,66.0,0.0,39.0,67.0,59.324989318847656
59.0,66.0,0.0,38.0,71.0,59.44308090209961
59.0,66.0,0.0,37.0,72.0,59.57982635498047
59.0,66.0,0.0,36.0,73.0,59.735443115234375
59.0,66.0,0.0,35.0,69.0,59.91017150878906
59.0,66.0,0.0,34.0,71.0,60.104286193847656
